Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Heading,Distance,Camera Height,Camera Angle,"D01
(1%)","D05
(5%)","D10
(10%)","D20
(20%)","D25
(25%)","D50
(50%)","D75
(75%","D80
(80%)","D90
(90%)","D95
(95%)","D99
(99%)",0.1 mm,0.147 mm,0.215 mm,0.316 mm,0.464 mm,0.681 mm,1 mm,1.47 mm,2.15 mm,3.16 mm,4.64 mm,6.81 mm,10 mm,14.7 mm,21.5 mm,31.6 mm,46.4 mm,68.1 mm,100 mm,147 mm,215 mm,316 mm,464 mm,681 mm,1000 mm,All In Spec,0.1 mm Sph,0.147 mm Sph,0.215 mm Sph,0.316 mm Sph,0.464 mm Sph,0.681 mm Sph,1 mm Sph,1.47 mm Sph,2.15 mm Sph,3.16 mm Sph,4.64 mm Sph,6.81 mm Sph,10 mm Sph,14.7 mm Sph,21.5 mm Sph,31.6 mm Sph,46.4 mm Sph,68.1 mm Sph,100 mm Sph,147 mm Sph,215 mm Sph,316 mm Sph,464 mm Sph,681 mm Sph,1000 mm Sph,Sphericity,CID 1,CID 2,Scale Factor,Scale Slope,Scale Intercept,Particles,Coverage,Edit Time,Profile Name,Threshold,Valley Threshold,Blur,Search Dark,Search Radius,Window Size,n,Xc,b,Xmax,X50,n Adj,Xc Adj,b Adj,Xmax Adj,X50 Adj,Height,Burden,Spacing,Diameter,Rock Factor,Accuracy,Strength,Density,Num Data Points,Blast  Name,
,,,,,,,,,,,,,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7,19,13,39,6,-,-,-,-,-,-,-,119.00,230.00,282.00,357.00,387.00,570.00,849.00,918.00,1170.00,1370.00,1540.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.04%,0.08%,0.13%,0.18%,0.39%,0.67%,1.47%,3.61%,13.30%,37.60%,62.90%,85.90%,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0.86,0.75,0.65,0.31,0.5,0.42,0.57,0.7,0.7,0.69,0.68,0.64,0.76,0.68,0,0,175.00,-,-,221,0.35,404,Profile 1,-60,-3,2,15,15,20,2.3395,685.00,3.58,1580.00,570.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,224,
2021,7,19,18,33,52,-,-,-,-,-,-,-,187.00,333.00,378.00,466.00,497.00,653.00,825.00,860.00,930.00,965.00,993.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.03%,0.04%,0.05%,0.17%,0.35%,0.49%,1.36%,3.10%,19.70%,54.50%,100.00%,1,0,0,0,0,0,0,0,0,0,0,0.72,0.8,0.95,0.65,0.43,0.34,0.39,0.45,0.2,0.55,0.38,0.58,0.6,0.64,0,0.64,0,0,243.00,-,-,113,0.54,448,Profile 1,-60,-3,2,15,15,20,2.781,742.00,2.58,970.00,653.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,225,
2021,7,19,13,45,55,-,-,-,-,-,-,-,49.50,109.00,171.00,326.00,368.00,557.00,769.00,835.00,966.00,1040.00,1110.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.11%,0.22%,0.44%,0.80%,2.20%,4.33%,7.93%,13.90%,18.90%,36.30%,68.30%,92.60%,1,0,0,0,0,0,0,0,0,0,0,0.63,0,0.82,0.7,0.53,0.55,0.58,0.6,0.53,0.55,0.61,0.64,0.62,0.65,0.61,0.64,0,0,223.00,-,-,625,0.55,268,Profile 1,-60,-3,2,15,15,20,1.8735,646.00,2.37,1130.00,557.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,226,
2021,7,20,19,42,53,-,-,-,-,-,-,-,52.70,118.00,187.00,300.00,362.00,572.00,824.00,918.00,1140.00,1260.00,1360.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.10%,0.17%,0.37%,0.66%,1.84%,3.70%,7.17%,12.00%,21.50%,32.80%,67.40%,84.40%,1,0,0,0,0,0,0,0,0,0,0,0,0.66,0.87,0.69,0.56,0.5,0.54,0.57,0.57,0.61,0.68,0.69,0.61,0.65,0.81,0.65,0,0,199.00,-,-,374,0.31,187,Profile 1,-60,-3,2,15,15,20,1.9203,655.00,2.67,1380.00,572.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,227,
2021,7,21,18,38,32,-,-,-,-,-,-,-,95.80,220.00,365.00,565.00,638.00,1030.00,1490.00,1590.00,1770.00,1870.00,1940.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.08%,0.13%,0.25%,0.46%,1.08%,2.37%,4.84%,8.44%,13.10%,27.90%,48.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0.74,0.76,0.73,0.69,0.59,0.6,0.58,0.6,0.58,0.6,0.61,0.65,0.58,0.66,0,0,105.00,0.12,46.40,807,0.48,386,Profile 1,-60,-3,2,15,15,20,1.8028,1270.00,2.33,1960.00,1030.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,228,
2021,7,20,20,1,8,-,-,-,-,-,-,-,95.80,220.00,365.00,565.00,638.00,1030.00,1490.00,1590.00,1770.00,1870.00,1940.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.08%,0.13%,0.25%,0.46%,1.08%,2.37%,4.84%,8.44%,13.10%,27.90%,48.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0.74,0.76,0.73,0.69,0.59,0.6,0.58,0.6,0.58,0.6,0.61,0.65,0.58,0.66,0,0,105.00,0.12,46.40,807,0.48,386,Profile 1,-60,-3,2,15,15,20,1.8028,1270.00,2.33,1960.00,1030.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,229,
2021,7,20,19,47,53,-,-,-,-,-,-,-,33.30,64.50,92.70,139.00,162.00,257.00,356.00,387.00,449.00,540.00,653.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.09%,0.20%,0.36%,0.83%,2.33%,5.53%,11.30%,21.70%,36.50%,68.70%,92.30%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0,0,0.67,0.8,0.87,0.58,0.63,0.59,0.62,0.65,0.59,0.7,0.65,0.65,0.86,0,0,0.66,0,0,228.00,-,-,384,0.16,154,Profile 1,-60,-3,2,15,15,20,2.1242,299.00,2.79,599.00,257.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,230,
2021,7,20,19,1,57,-,-,-,-,-,-,-,30.60,71.10,114.00,232.00,266.00,420.00,662.00,727.00,863.00,932.00,986.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.10%,0.17%,0.39%,1.07%,2.51%,4.63%,8.59%,13.30%,17.50%,32.50%,57.40%,76.60%,100.00%,1,0,0,0,0,0,0,0,0,0,0.7,0.87,0.73,0.59,0.56,0.56,0.58,0.61,0.61,0.56,0.67,0.68,0.63,0.68,0.74,0,0.66,0,0,375.00,-,-,455,0.5,161,Profile 1,-60,-3,2,15,15,20,1.6295,530.00,2.15,892.00,420.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,231,
2021,7,21,19,7,39,-,-,-,-,-,-,-,79.40,179.00,235.00,312.00,353.00,539.00,779.00,906.00,1150.00,1260.00,1360.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.11%,0.18%,0.44%,0.75%,1.47%,2.83%,7.42%,20.50%,38.80%,71.10%,83.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0.81,0.51,0.56,0.54,0.56,0.53,0.55,0.75,0.65,0.63,0.73,0.63,0.65,0,0,146.00,-,-,306,0.24,210,Profile 1,-60,-3,2,15,15,20,2.2092,628.00,3.16,1380.00,539.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,232,
2021,7,20,19,7,32,-,-,-,-,-,-,-,34.60,102.00,182.00,264.00,297.00,434.00,740.00,792.00,896.00,948.00,990.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.11%,0.17%,0.34%,0.81%,1.75%,2.72%,4.90%,7.45%,12.40%,28.00%,55.60%,69.30%,100.00%,1,0,0,0,0,0,0,0,0,0,0.59,0.89,0.67,0.56,0.48,0.47,0.52,0.42,0.45,0.64,0.53,0.56,0.63,0.68,0.59,0,0.61,0,0,374.00,-,-,227,0.31,193,Profile 1,-60,-3,2,15,15,20,1.6789,584.00,2.02,754.00,434.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,233,
